Name,Sex,Country,NOC,Games,Year,Host_City,Sport,Event,Gold,Silver,Bronze,Type_Sport
Jamtsyn Davaajav,M,Mongolia,MGL,1980 Summer,1980,Moskva,Wrestling,"Wrestling Men's Welterweight, Freestyle",0,1,0,Individual
Surinder Singh Sodhi Shokar,M,India,IND,1980 Summer,1980,Moskva,Hockey,Hockey Men's Hockey,1,0,0,Team
Rajinder Singh,M,India,IND,1980 Summer,1980,Moskva,Hockey,Hockey Men's Hockey,1,0,0,Team
Merwyn Fernandis,M,India,IND,1980 Summer,1980,Moskva,Hockey,Hockey Men's Hockey,1,0,0,Team
Li Byong-Uk,M,North Korea,PRK,1980 Summer,1980,Moskva,Boxing,Boxing Men's Light-Flyweight,0,0,1,Individual
Masaki Eto,M,Japan,JPN,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",0,1,0,Individual
Emiko Odaka,F,Japan,JPN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Kazushito Manabe,M,Japan,JPN,1984 Summer,1984,Los Angeles,Weightlifting,Weightlifting Men's Flyweight,0,0,1,Individual
Kyoko Ishida (-Noguchi),F,Japan,JPN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Salim Sherwani,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Zhou Jihong,F,China,CHN,1984 Summer,1984,Los Angeles,Diving,Diving Women's Platform,1,0,0,Individual
Jiang Ying,F,China,CHN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Tong Fei,M,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Horizontal Bar,0,1,0,Individual
Khalid Hamid,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Kumi Nakada,F,Japan,JPN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Lang Ping,F,China,CHN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Yang Xilan,F,China,CHN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Miwako Motoyoshi,F,Japan,JPN,1984 Summer,1984,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Duet,0,0,1,Team
Thawee Umponmaha,M,Thailand,THA,1984 Summer,1984,Los Angeles,Boxing,Boxing Men's Light-Welterweight,0,1,0,Individual
Yang Xiaojun,F,China,CHN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Lai Runming,M,China,CHN,1984 Summer,1984,Los Angeles,Weightlifting,Weightlifting Men's Bantamweight,0,1,0,Individual
Ryoji Isaoka,M,Japan,JPN,1984 Summer,1984,Los Angeles,Weightlifting,Weightlifting Men's Light-Heavyweight,0,0,1,Individual
Takashi Irie,M,Japan,JPN,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",0,1,0,Individual
Zhou Qiurui,F,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,0,0,1,Team
Miwako Motoyoshi,F,Japan,JPN,1984 Summer,1984,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Solo,0,0,1,Individual
Wu Jiani,F,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,0,0,1,Team
Jeong Sun-Bok,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,1,0,Team
Lee Yeong-Ja,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,1,0,Team
An Byeong-Geun,M,South Korea,KOR,1984 Summer,1984,Los Angeles,Judo,Judo Men's Lightweight,1,0,0,Individual
Zhang Rongfang,F,China,CHN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Qiu Chen,F,China,CHN,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,0,1,Team
Zhang Peijun,F,China,CHN,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,0,1,Team
Zhang Weihong,F,China,CHN,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,0,1,Team
Ayaz Mahmood,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Lee Mi-Ja,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,1,0,Team
Wang Mingxing,F,China,CHN,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,0,1,Team
Lee Jeong-Geun,M,South Korea,KOR,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Freestyle",0,0,1,Individual
Zhou Ping,F,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,0,0,1,Team
Jeon Chil-Seong,M,South Korea,KOR,1984 Summer,1984,Los Angeles,Boxing,Boxing Men's Lightweight,0,0,1,Individual
Yun Byeong-Sun,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,1,0,Team
Yao Jingyuan,M,China,CHN,1984 Summer,1984,Los Angeles,Weightlifting,Weightlifting Men's Lightweight,1,0,0,Individual
Zhou Peishun,M,China,CHN,1984 Summer,1984,Los Angeles,Weightlifting,Weightlifting Men's Flyweight,0,1,0,Individual
Song Xiaobo,F,China,CHN,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,0,1,Team
Jeong Hoe-Sun,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,1,0,Team
Lee Sun-I,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,1,0,Team
Tong Fei,M,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,Team
Han Hwa-Su,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,1,0,Team
Jeong Myeong-Hui,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,1,0,Team
Yumi Egami-Maruyama,F,Japan,JPN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Akira Ota,M,Japan,JPN,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",0,1,0,Individual
Xu Zhiqiang,M,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,Team
Nasir Ali,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Yun Su-Gyeong,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,1,0,Team
Lee Hyeong-Suk,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,1,0,Team
Yoko Kagabu,F,Japan,JPN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Koji Gushiken,M,Japan,JPN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Individual All-Around,1,0,0,Individual
Kim Chun-Rye,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,1,0,Team
Choi Ae-Yeong,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,1,0,Team
Yasuhiro Yamashita,M,Japan,JPN,1984 Summer,1984,Los Angeles,Judo,Judo Men's Open Class,1,0,0,Individual
Ikuzo Saito,M,Japan,JPN,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",0,0,1,Individual
Chen Zhen,F,China,CHN,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,0,1,Team
Syed Ghulam Moinuddin,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Kim Ok-Hwa,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,1,0,Team
Choi Gyeong-Hui,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,1,0,Team
Shahid Ali Khan,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Hanif Khan,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Chen Yuefang,F,China,CHN,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,0,1,Team
Koji Gushiken,M,Japan,JPN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Horse Vault,0,1,0,Team
Ha Hyeong-Ju,M,South Korea,KOR,1984 Summer,1984,Los Angeles,Judo,Judo Men's Half-Heavyweight,1,0,0,Individual
Chen Yongyan,F,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,0,0,1,Team
Kim Ui-Gon,M,South Korea,KOR,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Bantamweight, Freestyle",0,0,1,Individual
Zhang Yueqin,F,China,CHN,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,0,1,Team
Ba Yan,F,China,CHN,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,0,1,Team
Kim Eun-Suk,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,1,0,Team
Kim Jae-Yeop,M,South Korea,KOR,1984 Summer,1984,Los Angeles,Judo,Judo Men's Extra-Lightweight,0,1,0,Individual
Joseph Atiyeh,M,Syria,SYR,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Heavyweight, Freestyle",0,1,0,Individual
Tsutomu Sakamoto,M,Japan,JPN,1984 Summer,1984,Los Angeles,Cycling,Cycling Men's Sprint,0,0,1,Individual
Keiko Miyajima,F,Japan,JPN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Kim Jin-Ho,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Archery,Archery Women's Individual,0,0,1,Individual
Koji Gushiken,M,Japan,JPN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Horizontal Bar,0,0,1,Individual
Yuko Mitsuya,F,Japan,JPN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Koji Gushiken,M,Japan,JPN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Rings,1,0,0,Individual
Atsuji Miyahara,M,Japan,JPN,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",1,0,0,Individual
Kim Hwa-Sun,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,1,0,Team
Kyoji Yamawaki,M,Japan,JPN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,0,0,1,Team
Kim Mi-Suk,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,1,0,Team
Kim Gyeong-Sun,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,1,0,Team
Hassan Sardar,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Kim Jong-Gyu,M,South Korea,KOR,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Freestyle",0,1,0,Individual
Jo Yong-Cheol,M,South Korea,KOR,1984 Summer,1984,Los Angeles,Judo,Judo Men's Heavyweight,0,0,1,Individual
Kim Won-Gi,M,South Korea,KOR,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",1,0,0,Individual
Kim Yeong-Hui,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,1,0,Team
Zhu Jianhua,M,China,CHN,1984 Summer,1984,Los Angeles,Athletics,Athletics Men's High Jump,0,0,1,Individual
Shinji Morisue,M,Japan,JPN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Horse Vault,0,1,0,Team
Shinji Morisue,M,Japan,JPN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Horizontal Bar,1,0,0,Individual
Seong Gyeong-Hwa,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,1,0,Team
Kimie Morita,F,Japan,JPN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Bang Dae-Du,M,South Korea,KOR,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",0,0,1,Individual
Son Gap-Do,M,South Korea,KOR,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",0,0,1,Individual
Seong Jeong-A,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,1,0,Team
Takeo Kamachi,M,Japan,JPN,1984 Summer,1984,Los Angeles,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",1,0,0,Individual
Kalimullah Khan,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Hiroshi Yamamoto,M,Japan,JPN,1984 Summer,1984,Los Angeles,Archery,Archery Men's Individual,0,0,1,Individual
Noboyuki Kajitani,M,Japan,JPN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Parallel Bars,0,1,0,Individual
Noboyuki Kajitani,M,Japan,JPN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,0,0,1,Team
An Yeong-Su,M,South Korea,KOR,1984 Summer,1984,Los Angeles,Boxing,Boxing Men's Welterweight,0,1,0,Individual
Masahiro Kotaka,M,Japan,JPN,1984 Summer,1984,Los Angeles,Weightlifting,Weightlifting Men's Bantamweight,0,0,1,Individual
Zheng Haixia,F,China,CHN,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,0,1,Team
Seo Hyang-Sun,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Archery,Archery Women's Individual,1,0,0,Individual
Shinji Morisue,M,Japan,JPN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,0,0,1,Team
Tsai Wen-Yee,M,Chinese Taipei,TPE,1984 Summer,1984,Los Angeles,Weightlifting,Weightlifting Men's Featherweight,0,0,1,Individual
Koji Gushiken,M,Japan,JPN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,0,0,1,Team
Moon Gyeong-Ja,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,1,0,Team
Saeko Kimura,F,Japan,JPN,1984 Summer,1984,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Duet,0,0,1,Team
Chen Weiqiang,M,China,CHN,1984 Summer,1984,Los Angeles,Weightlifting,Weightlifting Men's Featherweight,1,0,0,Individual
Hitoshi Saito,M,Japan,JPN,1984 Summer,1984,Los Angeles,Judo,Judo Men's Heavyweight,1,0,0,Individual
Zheng Meizhu,F,China,CHN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Zhu Ling,F,China,CHN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Cong Xuedi,F,China,CHN,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,0,1,Team
Zhu Juefeng,F,China,CHN,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,0,1,Team
Yoshiyuki Matsuoka,M,Japan,JPN,1984 Summer,1984,Los Angeles,Judo,Judo Men's Half-Lightweight,1,0,0,Individual
Yuji Takada,M,Japan,JPN,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Freestyle",0,0,1,Individual
Tauqir Dar,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Son Mi-Na,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,1,0,Team
Tan Liangde,M,China,CHN,1984 Summer,1984,Los Angeles,Diving,Diving Men's Springboard,0,1,0,Individual
Qasim Zia,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Hideyuki Nagashima,M,Japan,JPN,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Middleweight, Freestyle",0,1,0,Individual
Wang Jun,F,China,CHN,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,0,1,Team
Sachiko Otani,F,Japan,JPN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Li Ning,M,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Pommelled Horse,1,0,0,Individual
Li Ning,M,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Rings,1,0,0,Individual
Li Ning,M,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Horse Vault,0,1,0,Individual
Naeem Akhtar,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Li Ning,M,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Floor Exercise,1,0,0,Individual
Sun Xiulan,F,China,CHN,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,0,1,Team
Kosei Akaishi,M,Japan,JPN,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Freestyle",0,1,0,Individual
Li Ning,M,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,Team
Huang Qun,F,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,0,0,1,Team
He Jianping,F,China,CHN,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,0,1,Team
Li Ning,M,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Individual All-Around,0,0,1,Individual
Wang Linwei,F,China,CHN,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,0,1,Team
Mushtaq Ahmed,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Norie Hiro,F,Japan,JPN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Miyoko Hirose,F,Japan,JPN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Park Chan-Suk,F,South Korea,KOR,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,1,0,Team
Kayoko Sugiyama,F,Japan,JPN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Hideaki Tomiyama,M,Japan,JPN,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Bantamweight, Freestyle",1,0,0,Individual
Li Yuwei,M,China,CHN,1984 Summer,1984,Los Angeles,Shooting,"Shooting Men's Running Target, 50 metres",1,0,0,Individual
Koji Sotomura,M,Japan,JPN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Floor Exercise,0,0,1,Individual
Zhang Hui,F,China,CHN,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,0,1,Team
Xiu Lijuan,F,China,CHN,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,0,1,Team
Xu Haifeng,M,China,CHN,1984 Summer,1984,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",1,0,0,Individual
Hwang Jeong-O,M,South Korea,KOR,1984 Summer,1984,Los Angeles,Judo,Judo Men's Half-Lightweight,0,1,0,Individual
Yu In-Tak,M,South Korea,KOR,1984 Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Lightweight, Freestyle",1,0,0,Individual
Zeng Guoqiang,M,China,CHN,1984 Summer,1984,Los Angeles,Weightlifting,Weightlifting Men's Flyweight,1,0,0,Individual
Liang Yan,F,China,CHN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Li Yanjun,F,China,CHN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Gao Xiumin,F,China,CHN,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,0,1,Team
Li Xiaoqin,F,China,CHN,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,0,1,Team
Li Xiaoping,M,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,Team
Noritoshi Hirata,M,Japan,JPN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,0,0,1,Team
Liu Yumei,F,China,CHN,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,0,1,Team
Koji Sotomura,M,Japan,JPN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,0,0,1,Team
Li Yuejiu,M,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,Team
Manzoor Hussain,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Li Lingjuan,F,China,CHN,1984 Summer,1984,Los Angeles,Archery,Archery Women's Individual,0,1,0,Individual
Huang Shiping,M,China,CHN,1984 Summer,1984,Los Angeles,Shooting,"Shooting Men's Running Target, 50 metres",0,0,1,Individual
Ma Yanhong,F,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,0,0,1,Team
Abdul Rashid Al-Hasan,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Seiki Nose,M,Japan,JPN,1984 Summer,1984,Los Angeles,Judo,Judo Men's Middleweight,0,0,1,Individual
Wang Yifu,M,China,CHN,1984 Summer,1984,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",0,0,1,Individual
Wu Xiaoxuan,F,China,CHN,1984 Summer,1984,Los Angeles,Shooting,"Shooting Women's Air Rifle, 10 metres",0,0,1,Individual
Sin Jun-Seop,M,South Korea,KOR,1984 Summer,1984,Los Angeles,Boxing,Boxing Men's Middleweight,1,0,0,Individual
Ishtiaq Ahmed,M,Pakistan,PAK,1984 Summer,1984,Los Angeles,Hockey,Hockey Men's Hockey,1,0,0,Team
Lou Yun,M,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Floor Exercise,0,1,0,Individual
Wu Shude,M,China,CHN,1984 Summer,1984,Los Angeles,Weightlifting,Weightlifting Men's Bantamweight,1,0,0,Individual
Lou Yun,M,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,Team
Hou Yuzhu,F,China,CHN,1984 Summer,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Lou Yun,M,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Horse Vault,1,0,0,Individual
Li Kongzheng,M,China,CHN,1984 Summer,1984,Los Angeles,Diving,Diving Men's Platform,0,0,1,Individual
Ma Yanhong,F,China,CHN,1984 Summer,1984,Los Angeles,Gymnastics,Gymnastics Women's Uneven Bars,1,0,0,Individual
Shinji Hosokawa,M,Japan,JPN,1984 Summer,1984,Los Angeles,Judo,Judo Men's Extra-Lightweight,1,0,0,Individual
Li Lan,F,China,CHN,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,0,1,Team
Jujie Luan,F,China,CHN,1984 Summer,1984,Los Angeles,Fencing,"Fencing Women's Foil, Individual",1,0,0,Individual
Wu Xiaoxuan,F,China,CHN,1984 Summer,1984,Los Angeles,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",1,0,0,Individual
Liu Qing,F,China,CHN,1984 Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,0,0,1,Team
Wu Xingjiang,F,China,CHN,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,0,1,Team
Liu Liping,F,China,CHN,1984 Summer,1984,Los Angeles,Handball,Handball Women's Handball,0,0,1,Team
Li Yueming,F,China,CHN,1988 Summer,1988,Seoul,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Wu Dan,F,China,CHN,1988 Summer,1988,Seoul,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Yang Xiao,F,China,CHN,1988 Summer,1988,Seoul,Rowing,Rowing Women's Coxed Eights,0,0,1,Team
Jin Won-Sim,F,South Korea,KOR,1988 Summer,1988,Seoul,Hockey,Hockey Women's Hockey,0,1,0,Team
Yosuke Yamamoto,M,Japan,JPN,1988 Summer,1988,Seoul,Judo,Judo Men's Half-Lightweight,0,0,1,Individual
Nurfitriyana Saiman-Lantang,F,Indonesia,INA,1988 Summer,1988,Seoul,Archery,Archery Women's Team,0,1,0,Team
Kim Su-Nyeong,F,South Korea,KOR,1988 Summer,1988,Seoul,Archery,Archery Women's Team,1,0,0,Team
Jo Gi-Hyang,F,South Korea,KOR,1988 Summer,1988,Seoul,Hockey,Hockey Women's Hockey,0,1,0,Team
Kim Su-Nyeong,F,South Korea,KOR,1988 Summer,1988,Seoul,Archery,Archery Women's Individual,1,0,0,Individual
Xiong Ni,M,China,CHN,1988 Summer,1988,Seoul,Diving,Diving Men's Platform,0,1,0,Individual
Go Seok-Chang,M,South Korea,KOR,1988 Summer,1988,Seoul,Handball,Handball Men's Handball,0,1,0,Team
Seo Gwang-Mi,F,South Korea,KOR,1988 Summer,1988,Seoul,Hockey,Hockey Women's Hockey,0,1,0,Team
Toshiharu Sato,M,Japan,JPN,1988 Summer,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,0,0,1,Team
Yang Xilan,F,China,CHN,1988 Summer,1988,Seoul,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Jiang Ying,F,China,CHN,1988 Summer,1988,Seoul,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Han Geum-Sil,F,South Korea,KOR,1988 Summer,1988,Seoul,Hockey,Hockey Women's Hockey,0,1,0,Team
Zhang Xianghua,F,China,CHN,1988 Summer,1988,Seoul,Rowing,Rowing Women's Coxed Eights,0,0,1,Team
Phajol Moolsan,M,Thailand,THA,1988 Summer,1988,Seoul,Boxing,Boxing Men's Bantamweight,0,0,1,Individual
Jiao Zhimin,F,China,CHN,1988 Summer,1988,Seoul,Table Tennis,Table Tennis Women's Singles,0,0,1,Individual
Jiao Zhimin,F,China,CHN,1988 Summer,1988,Seoul,Table Tennis,Table Tennis Women's Doubles,0,1,0,Team
Yang Xiaojun,F,China,CHN,1988 Summer,1988,Seoul,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
An Jae-Hyeong,M,South Korea-2,KOR,1988 Summer,1988,Seoul,Table Tennis,Table Tennis Men's Doubles,0,0,1,Team
Shinji Hosokawa,M,Japan,JPN,1988 Summer,1988,Seoul,Judo,Judo Men's Extra-Lightweight,0,0,1,Individual
Lou Yun,M,China,CHN,1988 Summer,1988,Seoul,Gymnastics,Gymnastics Men's Horse Vault,1,0,0,Individual
Hou Yuzhu,F,China,CHN,1988 Summer,1988,Seoul,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
