Name,Sex,Country,NOC,Games,Year,Host_City,Sport,Event,Gold,Silver,Bronze,Type_Sport
Masahiro Yoshimura,M,Japan,JPN,1956 Summer,1956,Melbourne,Swimming,Swimming Men's 200 metres Breaststroke,0,1,0,Individual
Ranganathan Francis,M,India,IND,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,1,0,0,Team
Akhtar Hussain,M,Pakistan,PAK,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,0,1,0,Team
Shinsaku Tsukawaki,M,Japan,JPN,1956 Summer,1956,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,Team
Emam Ali Habibi Goudarzi,M,Iran,IRI,1956 Summer,1956,Melbourne,Wrestling,"Wrestling Men's Lightweight, Freestyle",1,0,0,Individual
"Balbir Singh Dosanjh, Sr.",M,India,IND,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,1,0,0,Team
Anwar Ahmed Khan,M,Pakistan,PAK,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,0,1,0,Team
Hardyal Singh Garchey,M,India,IND,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,1,0,0,Team
Kim Chang-Hui,M,South Korea,KOR,1956 Summer,1956,Melbourne,Weightlifting,Weightlifting Men's Lightweight,0,0,1,Individual
Ahmed Naseer Bunda,M,Pakistan,PAK,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,0,1,0,Team
Habib Ali Kiddie,M,Pakistan,PAK,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,0,1,0,Team
Masaru Furukawa,M,Japan,JPN,1956 Summer,1956,Melbourne,Swimming,Swimming Men's 200 metres Breaststroke,1,0,0,Individual
Shozo Sasahara,M,Japan,JPN,1956 Summer,1956,Melbourne,Wrestling,"Wrestling Men's Featherweight, Freestyle",1,0,0,Individual
Gholam Reza Takhti,M,Iran,IRI,1956 Summer,1956,Melbourne,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",1,0,0,Individual
Takashi Ono,M,Japan,JPN,1956 Summer,1956,Melbourne,Gymnastics,Gymnastics Men's Pommelled Horse,0,1,0,Individual
Mohamed Ali Khojastehpour Birang,M,Iran,IRI,1956 Summer,1956,Melbourne,Wrestling,"Wrestling Men's Flyweight, Freestyle",0,1,0,Individual
Govind Perumal,M,India,IND,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,1,0,0,Team
Gurdev Singh Kular,M,India,IND,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,1,0,0,Team
Takashi Ono,M,Japan,JPN,1956 Summer,1956,Melbourne,Gymnastics,Gymnastics Men's Horizontal Bar,1,0,0,Individual
Takashi Ono,M,Japan,JPN,1956 Summer,1956,Melbourne,Gymnastics,Gymnastics Men's Parallel Bars,0,0,1,Team
Takashi Ono,M,Japan,JPN,1956 Summer,1956,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,Team
Qazi Massarrat Hussain,M,Pakistan,PAK,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,0,1,0,Team
Song Sun-Cheon,M,South Korea,KOR,1956 Summer,1956,Melbourne,Boxing,Boxing Men's Bantamweight,0,1,0,Individual
Takashi Ono,M,Japan,JPN,1956 Summer,1956,Melbourne,Gymnastics,Gymnastics Men's Individual All-Around,0,1,0,Individual
Latif-ur Rehman,M,Pakistan,PAK,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,0,1,0,Team
Udham Singh Kular,M,India,IND,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,1,0,0,Team
Tsuyoshi Yamanaka,M,Japan,JPN,1956 Summer,1956,Melbourne,Swimming,Swimming Men's 400 metres Freestyle,0,1,0,Individual
Nobuyuki Aihara,M,Japan,JPN,1956 Summer,1956,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,Team
Masami Kubota,M,Japan,JPN,1956 Summer,1956,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,Team
