Player_Name,Country,Sport,Event,Sport_Type,Gold,Silver,Bronze,Year,Gender
Thio Ging Hwie,Indonesia,Weightlifting,Lightweight(67.5 kg) ,Single,0,0,1,1954,M
Hachiro Fujiwara,Japan,Weightlifting,Middleweight(75 kg) ,Single,0,0,1,1954,M
Harold de Castro,Singapore,Weightlifting,Light heavyweight(82.5 kg) ,Single,0,0,1,1954,M
Joaquin Vasquez,Philippines,Weightlifting,Middle heavyweight(90 kg) ,Single,0,0,1,1954,M
Shih Ping-hua,Republic of China,Weightlifting,Heavyweight(+90 kg) ,Single,0,0,1,1954,M
Din Muhammad,Pakistan,Wrestling,Flyweight(52 kg) ,Single,1,0,0,1954,M
Minoru Iizuka,Japan,Wrestling,Bantamweight(57 kg) ,Single,1,0,0,1954,M
Shigeru Kasahara,Japan,Wrestling,Featherweight(62 kg) ,Single,1,0,0,1954,M
Takeo Shimotori,Japan,Wrestling,Lightweight(67 kg) ,Single,1,0,0,1954,M
Yutaka Kaneko,Japan,Wrestling,Welterweight(73 kg) ,Single,1,0,0,1954,M
Kazuo Katsuramoto,Japan,Wrestling,Middleweight(79 kg) ,Single,1,0,0,1954,M
Kenzo Fukuda,Japan,Wrestling,Heavyweight(+87 kg) ,Single,1,0,0,1954,M
Yushu Kitano,Japan,Wrestling,Flyweight(52 kg) ,Single,0,1,0,1954,M
Han Duk-hung,South Korea,Wrestling,Bantamweight(57 kg) ,Single,0,1,0,1954,M
Mansueto Napilay,Philippines,Wrestling,Featherweight(62 kg) ,Single,0,1,0,1954,M
B. G. Kashid,India,Wrestling,Lightweight(67 kg) ,Single,0,1,0,1954,M
Abdul Rashid,Pakistan,Wrestling,Welterweight(73 kg) ,Single,0,1,0,1954,M
Nicolas Arcales,Philippines,Wrestling,Middleweight(79 kg) ,Single,0,1,0,1954,M
Baryalai Naseri,Afghanistan,Wrestling,Heavyweight(+87 kg) ,Single,0,1,0,1954,M
Basilio Fabila,Philippines,Wrestling,Flyweight(52 kg) ,Single,0,0,1,1954,M
Muhammad Amin,Pakistan,Wrestling,Bantamweight(57 kg) ,Single,0,0,1,1954,M
Kim Yung-jun,South Korea,Wrestling,Featherweight(62 kg) ,Single,0,0,1,1954,M
Muhammad Ashraf,Pakistan,Wrestling,Lightweight(67 kg) ,Single,0,0,1,1954,M
Lim Bae-young,South Korea,Wrestling,Welterweight(73 kg) ,Single,0,0,1,1954,M
Sohan Singh,India,Wrestling,Middleweight(79 kg) ,Single,0,0,1,1954,M
