Name,Gender,Country,Year,Host_City,Sport,Event,Sport_Type,Gold,Silver,Bronze
Kim Su-Nyeong,F,South Korea,1988,Seoul,Archery,Archery Women's Team,Team,1,0,0
Jo Gi-Hyang,F,South Korea,1988,Seoul,Hockey,Hockey Women's Hockey,Team,0,1,0
Kim Su-Nyeong,F,South Korea,1988,Seoul,Archery,Archery Women's Individual,Individual,1,0,0
Xiong Ni,M,China,1988,Seoul,Diving,Diving Men's Platform,Individual,0,1,0
Go Seok-Chang,M,South Korea,1988,Seoul,Handball,Handball Men's Handball,Team,0,1,0
Seo Gwang-Mi,F,South Korea,1988,Seoul,Hockey,Hockey Women's Hockey,Team,0,1,0
Toshiharu Sato,M,Japan,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Team,0,0,1
Yang Xilan,F,China,1988,Seoul,Volleyball,Volleyball Women's Volleyball,Team,0,0,1
Jiang Ying,F,China,1988,Seoul,Volleyball,Volleyball Women's Volleyball,Team,0,0,1
Han Geum-Sil,F,South Korea,1988,Seoul,Hockey,Hockey Women's Hockey,Team,0,1,0
Zhang Xianghua,F,China,1988,Seoul,Rowing,Rowing Women's Coxed Eights,Team,0,0,1
Phajol Moolsan,M,Thailand,1988,Seoul,Boxing,Boxing Men's Bantamweight,Individual,0,0,1
Jiao Zhimin,F,China,1988,Seoul,Table Tennis,Table Tennis Women's Singles,Individual,0,0,1
Jiao Zhimin,F,China,1988,Seoul,Table Tennis,Table Tennis Women's Doubles,Team,0,1,0
Yang Xiaojun,F,China,1988,Seoul,Volleyball,Volleyball Women's Volleyball,Team,0,0,1
An Jae-Hyeong,M,South Korea,1988,Seoul,Table Tennis,Table Tennis Men's Doubles,Team,0,0,1
Shinji Hosokawa,M,Japan,1988,Seoul,Judo,Judo Men's Extra-Lightweight,Individual,0,0,1
Lou Yun,M,China,1988,Seoul,Gymnastics,Gymnastics Men's Horse Vault,Individual,1,0,0
Hou Yuzhu,F,China,1988,Seoul,Volleyball,Volleyball Women's Volleyball,Team,0,0,1
Takahiro Yamada,M,Japan,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Team,0,0,1
Chen Jing,F,China,1988,Seoul,Table Tennis,Table Tennis Women's Singles,Individual,1,0,0
Chen Jing,F,China,1988,Seoul,Table Tennis,Table Tennis Women's Doubles,Team,0,1,0
Hitoshi Saito,M,Japan,1988,Seoul,Judo,Judo Men's Heavyweight,Individual,1,0,0
Zhuang Yong,F,China,1988,Seoul,Swimming,Swimming Women's 100 metres Freestyle,Individual,0,1,0
Kim Yeong-Suk,F,South Korea,1988,Seoul,Hockey,Hockey Women's Hockey,Team,0,1,0
Jo Yong-Cheol,M,South Korea,1988,Seoul,Judo,Judo Men's Heavyweight,Individual,0,0,1
Gao Min,F,China,1988,Seoul,Diving,Diving Women's Springboard,Individual,1,0,0
Gang Jae-Won,M,South Korea,1988,Seoul,Handball,Handball Men's Handball,Team,0,1,0
Mikako Kotani,F,Japan,1988,Seoul,Synchronized Swimming,Synchronized Swimming Women's Solo,Individual,0,0,1
Seong Gyeong-Hwa,F,South Korea,1988,Seoul,Handball,Handball Women's Handball,Team,1,0,0
Zhang Yali,F,China,1988,Seoul,Rowing,Rowing Women's Coxed Eights,Team,0,0,1
Hu Yadong,F,China,1988,Seoul,Rowing,Rowing Women's Coxed Fours,Team,0,1,0
Daisuke Nishikawa,M,Japan,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Team,0,0,1
Park Seong-Su,M,South Korea,1988,Seoul,Archery,Archery Men's Individual,Individual,0,1,0
Yang Wenyi,F,China,1988,Seoul,Swimming,Swimming Women's 50 metres Freestyle,Individual,0,1,0
Hiroyuki Konishi,M,Japan,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Team,0,0,1
Seok Min-Hui,F,South Korea,1988,Seoul,Handball,Handball Women's Handball,Team,1,0,0
Hu Yadong,F,China,1988,Seoul,Rowing,Rowing Women's Coxed Eights,Team,0,0,1
Tan Liangde,M,China,1988,Seoul,Diving,Diving Men's Springboard,Individual,0,1,0
Zheng Meizhu,F,China,1988,Seoul,Volleyball,Volleyball Women's Volleyball,Team,0,0,1
Liu Shoubin,M,China,1988,Seoul,Weightlifting,Weightlifting Men's Bantamweight,Individual,0,0,1
Park Jong-Hun,M,South Korea,1988,Seoul,Gymnastics,Gymnastics Men's Horse Vault,Individual,0,0,1
Seo Hyo-Seon,F,South Korea,1988,Seoul,Hockey,Hockey Women's Hockey,Team,0,1,0
Kim Seong-Mun,M,South Korea,1988,Seoul,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Individual,0,1,0
Asgari Mohammadian,M,Iran,1988,Seoul,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Individual,0,1,0
Mikako Kotani,F,Japan,1988,Seoul,Synchronized Swimming,Synchronized Swimming Women's Duet,Team,0,0,1
Kim Yeong-Nam,M,South Korea,1988,Seoul,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Individual,1,0,0
Choi Chun-Ok,F,South Korea,1988,Seoul,Hockey,Hockey Women's Hockey,Team,0,1,0
Park Sun-Ja,F,South Korea,1988,Seoul,Hockey,Hockey Women's Hockey,Team,0,1,0
No Hyeon-Seok,M,South Korea,1988,Seoul,Handball,Handball Men's Handball,Team,0,1,0
Takashi Kobayashi,M,Japan,1988,Seoul,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Individual,1,0,0
Huang Xiaomin,F,China,1988,Seoul,Swimming,Swimming Women's 200 metres Breaststroke,Individual,0,1,0
Leopoldo Serrantes,M,Philippines,1988,Seoul,Boxing,Boxing Men's Light-Flyweight,Individual,0,0,1
Yang Xiao,F,China,1988,Seoul,Rowing,Rowing Women's Coxed Fours,Team,0,1,0
Son Mi-Na,F,South Korea,1988,Seoul,Handball,Handball Women's Handball,Team,1,0,0
Baek Hyeon-Man,M,South Korea,1988,Seoul,Boxing,Boxing Men's Heavyweight,Individual,0,1,0
Kim Sun-Deok,F,South Korea,1988,Seoul,Hockey,Hockey Women's Hockey,Team,0,1,0
Kim Tae-U,M,South Korea,1988,Seoul,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Individual,0,0,1
Park Si-Heon,M,South Korea,1988,Seoul,Boxing,Boxing Men's Light-Middleweight,Individual,1,0,0
Chen Longcan,M,China,1988,Seoul,Table Tennis,Table Tennis Men's Doubles,Team,1,0,0
Cui Yongmei,F,China,1988,Seoul,Volleyball,Volleyball Women's Volleyball,Team,0,0,1
Park Seong-Su,M,South Korea,1988,Seoul,Archery,Archery Men's Team,Team,1,0,0
Park Do-Heon,M,South Korea,1988,Seoul,Handball,Handball Men's Handball,Team,0,1,0
Huang Shiping,M,China,1988,Seoul,Shooting,"Shooting Men's Running Target, 50 metres",Individual,0,1,0
Su Huijuan,F,China,1988,Seoul,Volleyball,Volleyball Women's Volleyball,Team,0,0,1
Yang Yeong-Ja,F,South Korea,1988,Seoul,Table Tennis,Table Tennis Women's Doubles,Team,1,0,0
Choi Seok-Jae,M,South Korea,1988,Seoul,Handball,Handball Men's Handball,Team,0,1,0
Kim Gwang-Seon,M,South Korea,1988,Seoul,Boxing,Boxing Men's Flyweight,Individual,1,0,0
Nergin Enkhbat,M,Mongolia,1988,Seoul,Boxing,Boxing Men's Lightweight,Individual,0,0,1
Kim Gyeong-Sun,F,South Korea,1988,Seoul,Handball,Handball Women's Handball,Team,1,0,0
Daichi Suzuki,M,Japan,1988,Seoul,Swimming,Swimming Men's 100 metres Backstroke,Individual,1,0,0
Yukio Iketani,M,Japan,1988,Seoul,Gymnastics,Gymnastics Men's Floor Exercise,Individual,0,0,1
Seiko Iseki,M,China,1988,Seoul,Table Tennis,Table Tennis Men's Doubles,Team,1,0,0
Jang Eun-Jeong,F,South Korea,1988,Seoul,Hockey,Hockey Women's Hockey,Team,0,1,0
Syed Hussain Shah,M,Pakistan,1988,Seoul,Boxing,Boxing Men's Middleweight,Individual,0,0,1
Kim Mi-Suk,F,South Korea,1988,Seoul,Handball,Handball Women's Handball,Team,1,0,0
Yukio Iketani,M,Japan,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Team,0,0,1
Park Jang-Sun,M,South Korea,1988,Seoul,Wrestling,"Wrestling Men's Lightweight, Freestyle",Individual,0,1,0
Lee Sang-Hyo,M,South Korea,1988,Seoul,Handball,Handball Men's Handball,Team,0,1,0
Michiko Hasegawa-Fukushima,F,Japan,1988,Seoul,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Individual,0,1,0
Im Mi-Gyeong,F,South Korea,1988,Seoul,Handball,Handball Women's Handball,Team,1,0,0
Cha Yeong-Cheol,M,South Korea,1988,Seoul,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Individual,0,1,0
Kim Myeong-Sun,F,South Korea,1988,Seoul,Handball,Handball Women's Handball,Team,1,0,0
Li Qing,F,China,1988,Seoul,Diving,Diving Women's Springboard,Individual,0,1,0
Li Ronghua,F,China,1988,Seoul,Rowing,Rowing Women's Coxed Fours,Team,0,1,0
Kim Mi-Seon,F,South Korea,1988,Seoul,Hockey,Hockey Women's Hockey,Team,0,1,0
Ye Huanmin,M,China,1988,Seoul,Weightlifting,Weightlifting Men's Featherweight,Individual,0,0,1
Wang Hui-Gyeong,F,South Korea,1988,Seoul,Archery,Archery Women's Individual,Individual,0,1,0
Li Meisu,F,China,1988,Seoul,Athletics,Athletics Women's Shot Put,Individual,0,0,1
Im Jin-Seok,M,South Korea,1988,Seoul,Handball,Handball Men's Handball,Team,0,1,0
Lilies Handayani,F,Indonesia,1988,Seoul,Archery,Archery Women's Team,Team,0,1,0
He Yingqiang,M,China,1988,Seoul,Weightlifting,Weightlifting Men's Bantamweight,Individual,0,1,0
Atsuji Miyahara,M,Japan,1988,Seoul,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Individual,0,1,0
He Yanwen,F,China,1988,Seoul,Rowing,Rowing Women's Coxed Eights,Team,0,0,1
Yu Nam-Gyu,M,South Korea,1988,Seoul,Table Tennis,Table Tennis Men's Doubles,Team,0,0,1
Im Gye-Suk,F,South Korea,1988,Seoul,Hockey,Hockey Women's Hockey,Team,0,1,0
Akira Ota,M,Japan,1988,Seoul,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Individual,0,1,0
O Yong-Gi,M,South Korea,1988,Seoul,Handball,Handball Men's Handball,Team,0,1,0
Kim Hyeon-Mi,F,South Korea,1988,Seoul,Handball,Handball Women's Handball,Team,1,0,0
He Zhuoqiang,M,China,1988,Seoul,Weightlifting,Weightlifting Men's Flyweight,Individual,0,0,1
Yu Nam-Gyu,M,South Korea,1988,Seoul,Table Tennis,Table Tennis Men's Singles,Individual,1,0,0
Yun Tae-Il,M,South Korea,1988,Seoul,Handball,Handball Men's Handball,Team,0,1,0
Sin Yeong-Seok,M,South Korea,1988,Seoul,Handball,Handball Men's Handball,Team,0,1,0
Wang Hui-Gyeong,F,South Korea,1988,Seoul,Archery,Archery Women's Team,Team,1,0,0
Zhou Shouying,F,China,1988,Seoul,Rowing,Rowing Women's Coxed Eights,Team,0,0,1
Xu Yanmei,F,China,1988,Seoul,Diving,Diving Women's Platform,Individual,1,0,0
Han Yaqin,F,China,1988,Seoul,Rowing,Rowing Women's Coxed Eights,Team,0,0,1
Li Guojun,F,China,1988,Seoul,Volleyball,Volleyball Women's Volleyball,Team,0,0,1
Li Ronghua,F,China,1988,Seoul,Rowing,Rowing Women's Coxed Eights,Team,0,0,1
Li Deliang,M,China,1988,Seoul,Diving,Diving Men's Springboard,Individual,0,0,1
Lee Jae-Hyeok,M,South Korea,1988,Seoul,Boxing,Boxing Men's Featherweight,Individual,0,0,1
Lee Gi-Sun,F,South Korea,1988,Seoul,Handball,Handball Women's Handball,Team,1,0,0
Li Huifen,F,China,1988,Seoul,Table Tennis,Table Tennis Women's Singles,Individual,0,1,0
Mitsuru Sato,M,Japan,1988,Seoul,Wrestling,"Wrestling Men's Flyweight, Freestyle",Individual,1,0,0
Koichi Mizushima,M,Japan,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Team,0,0,1
No Gyeong-Seon,M,South Korea,1988,Seoul,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Individual,0,0,1
Jeong Sang-Hyeon,F,South Korea,1988,Seoul,Hockey,Hockey Women's Hockey,Team,0,1,0
Hyeon Jeong-Hwa,F,South Korea,1988,Seoul,Table Tennis,Table Tennis Women's Doubles,Team,1,0,0
Li Jinhe,M,China,1988,Seoul,Weightlifting,Weightlifting Men's Lightweight,Individual,0,0,1
Zhang Xianghua,F,China,1988,Seoul,Rowing,Rowing Women's Coxed Fours,Team,0,1,0
Miyako Tanaka,F,Japan,1988,Seoul,Synchronized Swimming,Synchronized Swimming Women's Duet,Team,0,0,1
Kim Chun-Rye,F,South Korea,1988,Seoul,Handball,Handball Women's Handball,Team,1,0,0
Lou Yun,M,China,1988,Seoul,Gymnastics,Gymnastics Men's Floor Exercise,Individual,0,0,1
An Dae-Hyeon,M,South Korea,1988,Seoul,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Individual,0,0,1
Sim Jae-Hong,M,South Korea,1988,Seoul,Handball,Handball Men's Handball,Team,0,1,0
Yun Yeong-Suk,F,South Korea,1988,Seoul,Archery,Archery Women's Team,Team,1,0,0
Park Yeong-Dae,M,South Korea,1988,Seoul,Handball,Handball Men's Handball,Team,0,1,0
Hwang Geum-Suk,F,South Korea,1988,Seoul,Hockey,Hockey Women's Hockey,Team,0,1,0
Kim Sang-Gyu,M,South Korea,1988,Seoul,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Individual,0,0,1
Akinobu Osako,M,Japan,1988,Seoul,Judo,Judo Men's Middleweight,Individual,0,0,1
Lee Jae-Seok,M,South Korea,1988,Seoul,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Individual,0,0,1
Lee Gyeong-Geun,M,South Korea,1988,Seoul,Judo,Judo Men's Half-Lightweight,Individual,1,0,0
Han Hyeon-Suk,F,South Korea,1988,Seoul,Handball,Handball Women's Handball,Team,1,0,0
Wang Yajun,F,China,1988,Seoul,Volleyball,Volleyball Women's Volleyball,Team,0,0,1
Jeon Byeong-Gwan,M,South Korea,1988,Seoul,Weightlifting,Weightlifting Men's Flyweight,Individual,0,1,0
Zhou Shouying,F,China,1988,Seoul,Rowing,Rowing Women's Coxed Fours,Team,0,1,0
Han O-Gyeong,F,South Korea,1988,Seoul,Hockey,Hockey Women's Hockey,Team,0,1,0
Zhou Xiuhua,F,China,1988,Seoul,Rowing,Rowing Women's Coxed Eights,Team,0,0,1
Jeon In-Su,M,South Korea,1988,Seoul,Archery,Archery Men's Team,Team,1,0,0
Kim Jae-Yeop,M,South Korea,1988,Seoul,Judo,Judo Men's Extra-Lightweight,Individual,1,0,0
Lee Hyeong-Geun,M,South Korea,1988,Seoul,Weightlifting,Weightlifting Men's Light-Heavyweight,Individual,0,0,1
Kim Gi-Taek,M,South Korea,1988,Seoul,Table Tennis,Table Tennis Men's Singles,Individual,0,1,0
Kim Jae-Hwan,M,South Korea,1988,Seoul,Handball,Handball Men's Handball,Team,0,1,0
Lee Han-Seop,M,South Korea,1988,Seoul,Archery,Archery Men's Team,Team,1,0,0
Qian Hong,F,China,1988,Seoul,Swimming,Swimming Women's 100 metres Butterfly,Individual,0,0,1
Han Myeong-U,M,South Korea,1988,Seoul,Wrestling,"Wrestling Men's Middleweight, Freestyle",Individual,1,0,0
Yun Yeong-Suk,F,South Korea,1988,Seoul,Archery,Archery Women's Individual,Individual,0,0,1
Jeong Eun-Gyeong,F,South Korea,1988,Seoul,Hockey,Hockey Women's Hockey,Team,0,1,0
Song Ji-Hyeon,F,South Korea,1988,Seoul,Handball,Handball Women's Handball,Team,1,0,0
Xu Haifeng,M,China,1988,Seoul,Shooting,"Shooting Men's Air Pistol, 10 metres",Individual,0,0,1
Kusuma Wardhani,F,Indonesia,1988,Seoul,Archery,Archery Women's Team,Team,0,1,0
Kim Yong-Sik,M,North Korea,1992,Barcelona,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Individual,0,0,1
Min Hye-Suk,F,South Korea,1992,Barcelona,Handball,Handball Women's Handball,Team,1,0,0
Yoko Sakaue,F,Japan,1992,Barcelona,Judo,Judo Women's Heavyweight,Individual,0,0,1
Zheng Haixia,F,China,1992,Barcelona,Basketball,Basketball Women's Basketball,Team,0,1,0
Min Gyeong-Gap,M,South Korea,1992,Barcelona,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Individual,0,0,1
Chen Zihe,F,China,1992,Barcelona,Table Tennis,Table Tennis Women's Doubles,Team,0,1,0
Kim Taek-Su,M,South Korea,1992,Barcelona,Table Tennis,Table Tennis Men's Doubles,Team,0,0,1
Kim Jong-Sin,M,South Korea,1992,Barcelona,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Individual,0,1,0
Lu Li,F,China,1992,Barcelona,Gymnastics,Gymnastics Women's Uneven Bars,Individual,1,0,0
Ryoko Tamura-Tani,F,Japan,1992,Barcelona,Judo,Judo Women's Extra-Lightweight,Individual,0,1,0
Lu Huali,F,China,1992,Barcelona,Rowing,Rowing Women's Double Sculls,Team,0,0,1
Lu Li,F,China,1992,Barcelona,Gymnastics,Gymnastics Women's Balance Beam,Individual,0,1,0
Park Jeong-Rim,F,South Korea,1992,Barcelona,Handball,Handball Women's Handball,Team,1,0,0
Chiyori Tateno (-Masuchi),F,Japan,1992,Barcelona,Judo,Judo Women's Lightweight,Individual,0,0,1
Park Jang-Sun,M,South Korea,1992,Barcelona,Wrestling,"Wrestling Men's Welterweight, Freestyle",Individual,1,0,0
Kim Su-Nyeong,F,South Korea,1992,Barcelona,Archery,Archery Women's Individual,Individual,0,1,0
Kim Su-Nyeong,F,South Korea,1992,Barcelona,Archery,Archery Women's Team,Team,1,0,0
Arkom Chenglai,M,Thailand,1992,Barcelona,Boxing,Boxing Men's Welterweight,Individual,0,0,1
Kim Myong-Nam,M,North Korea,1992,Barcelona,Weightlifting,Weightlifting Men's Middleweight,Individual,0,0,1
Kim Taek-Su,M,South Korea,1992,Barcelona,Table Tennis,Table Tennis Men's Singles,Individual,0,0,1
Kim Mun-Su,M,South Korea,1992,Barcelona,Badminton,Badminton Men's Doubles,Team,1,0,0
Takashi Miwa,M,Japan,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,0,1
Lo Chen-Jung,M,Chinese Taipei,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,1,0
Chen Yueling,F,China,1992,Barcelona,Athletics,Athletics Women's 10 kilometres Walk,Individual,1,0,0
Lu Lin,M,China,1992,Barcelona,Table Tennis,Table Tennis Men's Doubles,Team,1,0,0
Liu Shoubin,M,China,1992,Barcelona,Weightlifting,Weightlifting Men's Bantamweight,Individual,0,1,0
Kim Mi-Jeong,F,South Korea,1992,Barcelona,Judo,Judo Women's Half-Heavyweight,Individual,1,0,0
Lo Kuo-Chung,M,Chinese Taipei,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,1,0
Liu Qing,F,China,1992,Barcelona,Basketball,Basketball Women's Basketball,Team,0,1,0
Zheng Dongmei,F,China,1992,Barcelona,Basketball,Basketball Women's Basketball,Team,0,1,0
Hiroyuki Sakaguchi,M,Japan,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,0,1
Li Jing,M,China,1992,Barcelona,Gymnastics,Gymnastics Men's Parallel Bars,Individual,0,1,0
Park Ju-Bong,M,South Korea,1992,Barcelona,Badminton,Badminton Men's Doubles,Team,1,0,0
Qu Yunxia,F,China,1992,Barcelona,Athletics,"Athletics Women's 1,500 metres",Individual,0,0,1
Alexander Alan Budikusuma Wiratama,M,Indonesia,1992,Barcelona,Badminton,Badminton Men's Singles,Individual,1,0,0
Cha Jae-Gyeong,F,South Korea,1992,Barcelona,Handball,Handball Women's Handball,Team,1,0,0
Lee Mi-Yeong,F,South Korea,1992,Barcelona,Handball,Handball Women's Handball,Team,1,0,0
Mujahid Ali Rana,M,Pakistan,1992,Barcelona,Hockey,Hockey Men's Hockey,Team,0,0,1
Chang Cheng-Hsien,M,Chinese Taipei,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,1,0
Lee Ho-Yeon,F,South Korea,1992,Barcelona,Handball,Handball Women's Handball,Team,1,0,0
Pae Gil-Su,M,North Korea,1992,Barcelona,Gymnastics,Gymnastics Men's Pommelled Horse,Individual,1,0,0
Wang Hong,F,China,1992,Barcelona,Archery,Archery Women's Team,Team,0,1,0
Peng Ping,F,China,1992,Barcelona,Basketball,Basketball Women's Basketball,Team,0,1,0
Tang Jiuhong,F,China,1992,Barcelona,Badminton,Badminton Women's Singles,Team,0,0,1
Chang Wen-Chung,M,Chinese Taipei,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,1,0
Lee Eun-Gyeong,F,South Korea,1992,Barcelona,Archery,Archery Women's Team,Team,1,0,0
Lee Eun-Cheol,M,South Korea,1992,Barcelona,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Individual,1,0,0
Li Xiaoshuang,M,China,1992,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Team,0,1,0
Chang Yaw-Teing,M,Chinese Taipei,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,1,0
Li Xiaoshuang,M,China,1992,Barcelona,Gymnastics,Gymnastics Men's Floor Exercise,Individual,1,0,0
Li Xiaoshuang,M,China,1992,Barcelona,Gymnastics,Gymnastics Men's Rings,Individual,0,0,1
Pai Kun-Hong,M,Chinese Taipei,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,1,0
Lee Cheol-Seung,M,South Korea,1992,Barcelona,Table Tennis,Table Tennis Men's Doubles,Team,0,0,1
Lee Seung-Bae,M,South Korea,1992,Barcelona,Boxing,Boxing Men's Middleweight,Individual,0,0,1
Ma Wenge,M,China,1992,Barcelona,Table Tennis,Table Tennis Men's Singles,Individual,0,0,1
Li Jing,M,China,1992,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Team,0,1,0
Qian Hong,F,China,1992,Barcelona,Swimming,Swimming Women's 100 metres Butterfly,Individual,1,0,0
Li Hak-Son,M,North Korea,1992,Barcelona,Wrestling,"Wrestling Men's Flyweight, Freestyle",Individual,1,0,0
Li Gwang-Sik,M,North Korea,1992,Barcelona,Boxing,Boxing Men's Bantamweight,Individual,0,0,1
Li Ge,M,China,1992,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Team,0,1,0
Li Duihong,F,China,1992,Barcelona,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Individual,0,1,0
Li Dongmei,F,China,1992,Barcelona,Basketball,Basketball Women's Basketball,Team,0,1,0
Li Dashuang,M,China,1992,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Team,0,1,0
Yun Hyeon,M,South Korea,1992,Barcelona,Judo,Judo Men's Extra-Lightweight,Individual,0,1,0
Qiao Hong,F,China,1992,Barcelona,Table Tennis,Table Tennis Women's Singles,Individual,0,1,0
Li Chunxiu,F,China,1992,Barcelona,Athletics,Athletics Women's 10 kilometres Walk,Individual,0,0,1
Qiao Hong,F,China,1992,Barcelona,Table Tennis,Table Tennis Women's Doubles,Team,1,0,0
Guo Linyao,M,China,1992,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Team,0,1,0
Li Bun-Hui,F,North Korea,1992,Barcelona,Table Tennis,Table Tennis Women's Doubles,Team,0,0,1
Li Bun-Hui,F,North Korea,1992,Barcelona,Table Tennis,Table Tennis Women's Singles,Individual,0,0,1
Guo Linyao,M,China,1992,Barcelona,Gymnastics,Gymnastics Men's Parallel Bars,Individual,0,0,1
Wang Huifeng,F,China,1992,Barcelona,Fencing,"Fencing Women's Foil, Individual",Individual,0,1,0
Ma Xiangjun,F,China,1992,Barcelona,Archery,Archery Women's Team,Team,0,1,0
Li Chunyang,M,China,1992,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Team,0,1,0
Wang Kuang-Shih,M,Chinese Taipei,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,1,0
Koichi Oshima,M,Japan,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,0,1
Le Jingyi,F,China,1992,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Team,0,1,0
Masayuki Matsunaga,M,Japan,1992,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Team,0,0,1
Lin Kun-Han,M,Chinese Taipei,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,1,0
Lin Li,F,China,1992,Barcelona,Swimming,Swimming Women's 200 metres Breaststroke,Individual,0,1,0
Masayuki Matsunaga,M,Japan,1992,Barcelona,Gymnastics,Gymnastics Men's Parallel Bars,Individual,0,0,1
Lin Li,F,China,1992,Barcelona,Swimming,Swimming Women's 200 metres Individual Medley,Individual,1,0,0
Lin Li,F,China,1992,Barcelona,Swimming,Swimming Women's 400 metres Individual Medley,Individual,0,1,0
Hiroki Kokubo,M,Japan,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,0,1
Lin Qisheng,M,China,1992,Barcelona,Weightlifting,Weightlifting Men's Flyweight,Individual,0,1,0
Luo Jianming,M,China,1992,Barcelona,Weightlifting,Weightlifting Men's Bantamweight,Individual,0,0,1
Hirotami Kojima,M,Japan,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,0,1
Toshihiko Koga,M,Japan,1992,Barcelona,Judo,Judo Men's Lightweight,Individual,1,0,0
Anjum Saeed,M,Pakistan,1992,Barcelona,Hockey,Hockey Men's Hockey,Team,0,0,1
Ryohei Koba,M,Japan,1992,Barcelona,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Individual,0,0,1
Lin Yanfen,F,China,1992,Barcelona,Badminton,Badminton Women's Doubles,Team,0,0,1
Muhammad Asif Bajwa,M,Pakistan,1992,Barcelona,Hockey,Hockey Men's Hockey,Team,0,0,1
Park Gap-Suk,F,South Korea,1992,Barcelona,Handball,Handball Women's Handball,Team,1,0,0
Chen Wei-Chen,M,Chinese Taipei,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,1,0
Liu Jun,F,China,1992,Barcelona,Basketball,Basketball Women's Basketball,Team,0,1,0
Masahito Kohiyama,M,Japan,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,0,1
Rudy Gunawan,M,Indonesia,1992,Barcelona,Badminton,Badminton Men's Doubles,Team,0,1,0
Tan Liangde,M,China,1992,Barcelona,Diving,Diving Men's Springboard,Individual,0,1,0
Tadanori Koshino,M,Japan,1992,Barcelona,Judo,Judo Men's Extra-Lightweight,Individual,0,0,1
Li Xin,F,China,1992,Barcelona,Basketball,Basketball Women's Basketball,Team,0,1,0
Chen Chi-Hsin,M,Chinese Taipei,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,1,0
Wang Xiaohong,F,China,1992,Barcelona,Swimming,Swimming Women's 200 metres Butterfly,Individual,0,1,0
Wu Shih-Hsin,M,Chinese Taipei,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,1,0
Wang Fang,F,China,1992,Barcelona,Basketball,Basketball Women's Basketball,Team,0,1,0
Li Yongbo,M,China,1992,Barcelona,Badminton,Badminton Men's Doubles,Team,0,0,1
Xiong Ni,M,China,1992,Barcelona,Diving,Diving Men's Platform,Individual,0,0,1
Wang Xiaozhu,F,China,1992,Barcelona,Archery,Archery Women's Team,Team,0,1,0
Bang Su-Hyeon,F,South Korea,1992,Barcelona,Badminton,Badminton Women's Singles,Individual,0,1,0
Shigeki Wakabayashi,M,Japan,1992,Barcelona,Baseball,Baseball Men's Baseball,Team,0,0,1
Li Zhongyun,F,China,1992,Barcelona,Judo,Judo Women's Half-Lightweight,Individual,0,0,1
