Name,Gender,Country,Year,Host_City,Sport,Event,Sport_Type,Gold,Silver,Bronze
Kim Chang-Hui,M,South Korea,1956,Melbourne,Weightlifting,Weightlifting Men's Lightweight,Individual,0,0,1
Ahmed Naseer Bunda,M,Pakistan,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,0,1,0
Habib Ali Kiddie,M,Pakistan,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,0,1,0
Masaru Furukawa,M,Japan,1956,Melbourne,Swimming,Swimming Men's 200 metres Breaststroke,Individual,1,0,0
Shozo Sasahara,M,Japan,1956,Melbourne,Wrestling,"Wrestling Men's Featherweight, Freestyle",Individual,1,0,0
Gholam Reza Takhti,M,Iran,1956,Melbourne,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Individual,1,0,0
Takashi Ono,M,Japan,1956,Melbourne,Gymnastics,Gymnastics Men's Pommelled Horse,Individual,0,1,0
Mohamed Ali Khojastehpour Birang,M,Iran,1956,Melbourne,Wrestling,"Wrestling Men's Flyweight, Freestyle",Individual,0,1,0
Govind Perumal,M,India,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,1,0,0
Gurdev Singh Kular,M,India,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,1,0,0
Takashi Ono,M,Japan,1956,Melbourne,Gymnastics,Gymnastics Men's Horizontal Bar,Individual,1,0,0
Takashi Ono,M,Japan,1956,Melbourne,Gymnastics,Gymnastics Men's Parallel Bars,Team,0,0,1
Takashi Ono,M,Japan,1956,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,Team,0,1,0
Qazi Massarrat Hussain,M,Pakistan,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,0,1,0
Song Sun-Cheon,M,South Korea,1956,Melbourne,Boxing,Boxing Men's Bantamweight,Individual,0,1,0
Takashi Ono,M,Japan,1956,Melbourne,Gymnastics,Gymnastics Men's Individual All-Around,Individual,0,1,0
Latif-ur Rehman,M,Pakistan,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,0,1,0
